ma_length,key_value,adaptive_atr_mult,tp1_rr_long,tp1_percent,return,sharpe,max_dd,win_rate,trades,profit_factor
150,2.5,2.0,1.5,25,28.177384983383163,1.0397873720347017,-8.589904187274222,64.44444444444444,45,2.5322840301650302
200,2.0,2.0,1.0,25,27.583525716334844,1.0996882555749627,-9.65944275850501,65.38461538461539,52,2.3944456766126216
150,2.5,2.0,0.5,35,27.25762792687772,1.297937355175285,-8.284013720553741,71.1864406779661,59,2.6203877659503054
200,2.0,2.0,1.0,35,26.99059727416567,1.0992449135936748,-9.605051186972592,65.38461538461539,52,2.3944456766126216
150,1.5,2.0,0.5,25,26.59913619984871,1.2196938424172343,-15.860358277228869,65.21739130434783,69,2.2157275392238023
200,2.0,2.0,1.0,45,26.398625300818384,1.102397451859102,-9.612999966945846,65.38461538461539,52,2.3944456766126216
150,2.5,2.0,0.5,25,25.858329978223498,1.2017237326375532,-8.90606402541808,71.1864406779661,59,2.6203877659503054
250,2.5,2.0,1.5,45,25.763520417711604,0.9878274101806257,-7.7065236560368895,62.7906976744186,43,2.518226364949859
250,2.5,2.0,1.5,25,25.72125774309001,0.9776207099365337,-7.749806487574062,62.7906976744186,43,2.518226364949859
250,2.5,2.0,1.5,35,25.65552954814373,0.9809549543221113,-7.697402353245753,62.7906976744186,43,2.518226364949859
200,2.5,2.0,1.5,45,25.470940709910845,0.9669161359302282,-7.747505358216311,62.22222222222222,45,2.396068191479598
200,1.5,2.0,1.0,35,24.854965122835473,1.016149941979756,-11.460704986244874,63.793103448275865,58,2.4079973349604087
200,1.5,2.0,1.0,25,24.68973935109172,0.9994821978045253,-11.485201249696475,63.793103448275865,58,2.4079973349604087
150,1.5,2.0,1.0,45,24.619530499705743,1.0089372394118428,-13.778681364729717,62.71186440677966,59,2.093342604772406
200,1.5,2.0,1.0,45,24.60556642247233,1.0148714931521985,-11.563353251352071,63.793103448275865,58,2.4079973349604087
150,1.5,2.0,1.0,25,24.517082150902915,0.9914975373481901,-13.888199822922676,62.71186440677966,59,2.093342604772406
150,1.5,2.0,1.0,35,24.455142209163114,0.9970724202170578,-13.843842419143881,62.71186440677966,59,2.093342604772406
200,2.5,2.0,1.5,35,24.297766174220524,0.9268402938356631,-8.304991436518083,62.22222222222222,45,2.396068191479598
150,2.0,2.0,1.0,25,23.909533767693684,0.9920390942493947,-10.670182212751445,63.46153846153846,52,1.99200315207672
150,2.5,2.0,1.0,35,23.773375168847288,1.0017107337643445,-8.214955218230834,66.66666666666666,51,2.4024806120160296
200,2.5,2.0,1.5,25,23.460480620341713,0.8989465050613054,-8.589904187274222,62.22222222222222,45,2.396068191479598
150,2.0,2.0,1.0,35,23.41720948604692,0.9889821381883201,-10.658571849896347,63.46153846153846,52,1.99200315207672
150,2.5,2.0,1.0,25,23.40608474767412,0.975474917232529,-8.496658505523612,66.66666666666666,51,2.4024806120160296
150,2.5,2.0,1.0,45,23.368102507516085,1.0049840572867004,-7.663621515647312,66.66666666666666,51,2.4024806120160296
150,2.0,2.0,1.0,45,23.20568591956442,0.998059212217049,-10.600020979067814,63.46153846153846,52,1.99200315207672
150,2.0,2.0,0.5,45,22.363840486299832,1.148342524668944,-12.2671856742382,66.12903225806451,62,2.05598579422346
150,2.0,2.0,0.5,35,22.070629789842897,1.0976966006448603,-12.70455686012234,66.12903225806451,62,2.05598579422346
100,1.5,2.0,0.5,45,21.154962872436645,0.9845036518514253,-15.015469957537986,64.70588235294117,68,2.0083634010465596
